year,month,asset,DQN_return,Long_return
2019,5,Fixed Income,0.0,0.644566
2019,6,Fixed Income,0.0,0.243725
2019,7,Fixed Income,0.053079,0.126264
2019,8,Fixed Income,-0.304906,0.718148
2019,9,Fixed Income,0.018558,-0.349194
2019,10,Fixed Income,0.196082,-0.20263
2019,11,Fixed Income,-0.124482,-0.163326
2019,12,Fixed Income,-0.052525,-0.256316
2011,1,Forex,-0.144532,-0.016372
2011,2,Forex,0.423041,0.29796
2011,3,Forex,-0.230378,-0.100489
2011,4,Forex,0.893252,0.676698
2011,5,Forex,-0.519208,-0.273023
2011,6,Forex,-0.012289,0.040001
2011,7,Forex,-0.018513,0.439832
2011,8,Forex,-0.777902,-0.351062
2011,9,Forex,-0.800902,-0.662914
2011,10,Forex,-0.581716,0.343813
2011,11,Forex,0.457265,-0.310665
2011,12,Forex,0.101779,-0.064137
2012,1,Forex,-0.119651,0.288071
2012,2,Forex,0.092196,0.253028
2012,3,Forex,-0.560112,-0.089883
2012,4,Forex,0.198451,-0.000544
2012,5,Forex,-1.839985,-0.987003
2012,6,Forex,0.228683,0.477458
2012,7,Forex,-0.133543,-0.047287
2012,8,Forex,-0.219396,0.153948
2012,9,Forex,-0.129246,0.218462
2012,10,Forex,-0.08354,-0.130307
2012,11,Forex,-0.088038,0.122861
2012,12,Forex,-0.174721,0.085735
2013,1,Forex,-0.303029,-0.233182
2013,2,Forex,-1.039726,-0.250496
2013,3,Forex,0.212441,0.226807
2013,4,Forex,-0.157672,0.272664
2013,5,Forex,-0.668272,-0.784847
2013,6,Forex,-0.384201,-0.074483
2013,7,Forex,0.058406,0.113319
2013,8,Forex,0.158851,-0.219509
2013,9,Forex,0.171526,0.576614
2013,10,Forex,-0.504446,-0.036595
2013,11,Forex,-0.046272,-0.05796
2013,12,Forex,-0.087123,0.034381
2014,1,Forex,-0.417894,-0.442872
2014,2,Forex,0.449128,0.301895
2014,3,Forex,-0.190311,0.08857
2014,4,Forex,0.203278,0.174155
2014,5,Forex,-0.478211,0.125161
2014,6,Forex,0.315077,0.306012
2014,7,Forex,-0.846239,-0.471858
2014,8,Forex,-0.474441,-0.221587
2014,9,Forex,-0.821046,-0.851594
2014,10,Forex,-0.632347,-0.14925
2014,11,Forex,-0.487548,-0.448045
2014,12,Forex,-0.423915,-0.437676
2015,1,Forex,-0.521191,-0.044288
2015,2,Forex,0.328851,0.134152
2015,3,Forex,0.037605,-0.190273
2015,4,Forex,-0.140498,0.333862
2015,5,Forex,-0.140885,-0.169773
2015,6,Forex,-0.095782,0.023144
2015,7,Forex,-0.570607,-0.400614
2015,8,Forex,-0.396469,-0.228611
2015,9,Forex,-0.256357,-0.171161
2015,10,Forex,0.192182,0.191312
2015,11,Forex,-0.087523,-0.216596
2015,12,Forex,-0.3214,-0.139627
2016,1,Forex,-0.024788,-0.461975
2016,2,Forex,-0.014581,0.215205
2016,3,Forex,-0.208242,0.516652
2016,4,Forex,0.102122,0.121466
2016,5,Forex,0.005512,-0.424061
2016,6,Forex,-0.029294,0.02599
2016,7,Forex,0.083211,0.111484
2016,8,Forex,0.08113,-0.110021
2016,9,Forex,0.004567,0.036232
2016,10,Forex,-0.078769,-0.189293
2016,11,Forex,0.01588,-0.321591
2016,12,Forex,-0.087028,-0.260565
2017,1,Forex,-0.20596,0.311847
2017,2,Forex,-0.07651,-0.03619
2017,3,Forex,-0.1629,0.15491
2017,4,Forex,-0.221426,-0.136502
2017,5,Forex,-0.06076,0.171397
2017,6,Forex,0.0,0.333422
2017,7,Forex,-0.037968,0.359098
2017,8,Forex,-0.199233,-0.12272
2017,9,Forex,-0.043067,0.064636
2017,10,Forex,-0.5979,-0.230223
2017,11,Forex,-0.091391,0.138836
2017,12,Forex,-0.009094,0.083386
2018,1,Forex,-0.064359,0.734434
2018,2,Forex,0.066458,-0.363979
2018,3,Forex,0.11996,0.062657
2018,4,Forex,-0.011075,-0.331395
2018,5,Forex,-0.000958,-0.258934
2018,6,Forex,-0.105729,-0.263458
2018,7,Forex,-0.268343,0.063412
2018,8,Forex,0.244295,-0.101535
2018,9,Forex,-0.009458,0.065232
2018,10,Forex,-0.095959,-0.639423
2018,11,Forex,0.096553,0.067441
2018,12,Forex,-0.190967,-0.078809
2019,1,Forex,0.014754,0.277276
2019,2,Forex,-0.076399,-0.123354
2019,3,Forex,0.002884,-0.148904
2019,4,Forex,0.150508,-0.094542
2019,5,Forex,0.0,-0.243076
2019,6,Forex,0.007206,0.33628
2019,7,Forex,0.0,-0.430462
2019,8,Forex,-0.076531,-0.242004
2019,9,Forex,0.013526,0.06185
2019,10,Forex,-0.065963,0.361239
2019,11,Forex,0.0,-0.330157
2019,12,Forex,-0.002917,0.576848
